Start,End,Work,Game,Movie,Reading,Browsing,Youtube,Chores,Netflix,Cooking,Social,Teaching,Other...
17-11-14 14:35,17-11-14 14:40,Setting up this document,,,,,,,,,,,
17-11-14 14:41,17-11-14 15:57,,,,,,,x,,,,,
17-11-14 15:59,17-11-14 17:11,,GW2,,,,,,,,,,
17-11-14 17:12,17-11-14 17:38,,,,,,,,,Erwtensoep,,,
17-11-14 17:38,17-11-14 18:23,,,,,,x,,,,,,
17-11-14 18:23,17-11-14 20:41,Yetiland,,,,,,,,,,,
17-11-14 20:41,17-11-14 21:13,,,,,,x,,,,,,
17-11-14 21:13,17-11-14 21:24,,,,,,,x,,,,,
17-11-14 21:24,17-11-14 21:44,,,,,,x,,,,,,
17-11-14 21:44,17-11-14 22:14,,SF4,,,,,,,,,,
18-11-14 09:33,18-11-14 10:11,,,,,,x,,,,,,
18-11-14 10:11,18-11-14 10:54,,GW2,,,,,,,,,,
18-11-14 10:55,18-11-14 11:16,,,,,x,,,,,,,
18-11-14 11:16,18-11-14 11:22,,,,,,x,,,,,,
18-11-14 11:22,18-11-14 11:46,,SF4,,,,,,,,,,
18-11-14 15:54,18-11-14 16:51,,,,,,,x,,,,,
18-11-14 16:51,18-11-14 17:38,,,,,,,,,Fusilli,,,
18-11-14 17:38,18-11-14 18:25,,,,,,x,,,,,,
18-11-14 18:25,18-11-14 18:53,Yetiland,,,,,,,,,,,
18-11-14 18:53,18-11-14 20:35,,GW2,,,,,,,,,,
18-11-14 20:45,18-11-14 22:03,,,,,,,,,,Ma op bezoek,,
18-11-14 22:04,18-11-14 22:20,,,,,,x,,,,,,
18-11-14 22:20,18-11-14 22:33,,,,,x,,,,,,,
18-11-14 22:33,18-11-14 22:59,,SF4,,,,,,,,,,
19-11-14 18:12,19-11-14 18:29,,,,,,,x,,,,,
19-11-14 18:29,19-11-14 18:54,,,,,,,,,Rice with brocolli,,,
19-11-14 18:54,19-11-14 19:47,,,,,,x,,,,,,
19-11-14 19:47,19-11-14 20:30,Margreetschouwenaar,,,,,,,,,,,
19-11-14 20:30,19-11-14 23:01,,GW2,,,,,,,,,,
20-11-14 18:11,20-11-14 18:58,,,,,,,,,Baked potatoes with garlic bread,,,
20-11-14 18:58,20-11-14 20:21,,,,,,x,,,,,,
20-11-14 20:22,20-11-14 21:28,Echt Amsterdams,,,,,,,,,,,
20-11-14 21:28,20-11-14 21:35,,,,,x,,,,,,,
20-11-14 21:35,20-11-14 22:08,Data Visualization,,,,,,,,,,,
20-11-14 22:08,20-11-14 23:18,,GW2,,,,,,,,,,
